247.0628,1888.911,-324.2015
247.0459,1888.88,-324.2022
247.0289,1888.849,-324.2029
247.0119,1888.819,-324.2036
246.9949,1888.788,-324.2043
246.978,1888.757,-324.2049
246.961,1888.726,-324.2056
246.944,1888.695,-324.2063
246.9271,1888.665,-324.207
246.9101,1888.634,-324.2077
246.8932,1888.603,-324.2084
246.8762,1888.572,-324.2091
246.8593,1888.541,-324.2097
246.8423,1888.51,-324.2104
246.8254,1888.48,-324.2112
246.8084,1888.449,-324.2118
246.7915,1888.418,-324.2125
246.7745,1888.387,-324.2132
246.7576,1888.357,-324.2139
246.7406,1888.326,-324.2146
246.7237,1888.295,-324.2153
246.7067,1888.264,-324.216
246.6898,1888.233,-324.2167
246.6729,1888.203,-324.2174
246.6559,1888.172,-324.2182
246.639,1888.141,-324.2188
246.6221,1888.11,-324.2196
246.6051,1888.079,-324.2202
246.5882,1888.048,-324.221
246.5713,1888.018,-324.2217
246.5544,1887.987,-324.2224
246.5374,1887.956,-324.2231
246.5205,1887.925,-324.2238
246.5036,1887.894,-324.2246
246.4867,1887.864,-324.2252
246.4698,1887.833,-324.226
246.4529,1887.802,-324.2267
246.4359,1887.771,-324.2274
246.419,1887.74,-324.2281
246.4021,1887.709,-324.2289
246.3852,1887.679,-324.2296
246.3683,1887.648,-324.2303
246.3514,1887.617,-324.231
246.3345,1887.586,-324.2317
246.3176,1887.555,-324.2325
246.3007,1887.524,-324.2332
246.2838,1887.493,-324.2339
246.2669,1887.463,-324.2347
246.25,1887.432,-324.2354
246.2331,1887.401,-324.2362
246.2162,1887.37,-324.2369
246.1993,1887.339,-324.2376
246.1824,1887.309,-324.2383
246.1655,1887.278,-324.2391
246.1487,1887.247,-324.2398
246.1318,1887.216,-324.2406
246.1149,1887.185,-324.2413
246.098,1887.154,-324.242
246.0811,1887.124,-324.2428
246.0643,1887.093,-324.2435
246.0474,1887.062,-324.2443
246.0305,1887.031,-324.245
246.0136,1887,-324.2458
245.9968,1886.969,-324.2465
245.9799,1886.938,-324.2473
245.963,1886.908,-324.248
245.9462,1886.877,-324.2488
245.9293,1886.846,-324.2495
245.9124,1886.815,-324.2503
245.8956,1886.784,-324.251
245.8787,1886.753,-324.2518
245.8619,1886.723,-324.2526
245.845,1886.692,-324.2533
245.8282,1886.661,-324.2541
245.8113,1886.63,-324.2548
245.7944,1886.599,-324.2556
245.7776,1886.568,-324.2564
245.7608,1886.537,-324.2571
245.7439,1886.506,-324.2579
245.7271,1886.476,-324.2587
245.7102,1886.445,-324.2594
245.6934,1886.414,-324.2602
245.6765,1886.383,-324.261
245.6597,1886.352,-324.2618
245.6429,1886.321,-324.2625
245.626,1886.291,-324.2633
245.6092,1886.26,-324.2641
245.5924,1886.229,-324.2649
245.5755,1886.198,-324.2656
245.5587,1886.167,-324.2664
245.5419,1886.136,-324.2672
245.5251,1886.105,-324.268
245.5082,1886.074,-324.2688
245.4914,1886.044,-324.2696
245.4746,1886.013,-324.2703
245.4578,1885.982,-324.2711
245.441,1885.951,-324.2719
245.4242,1885.92,-324.2727
245.4073,1885.889,-324.2735
245.3905,1885.858,-324.2743
245.3737,1885.827,-324.275
245.3569,1885.797,-324.2759
245.3401,1885.766,-324.2767
245.3233,1885.735,-324.2774
245.3065,1885.704,-324.2783
245.2897,1885.673,-324.279
245.2729,1885.642,-324.2798
245.2561,1885.611,-324.2806
245.2393,1885.58,-324.2814
245.2225,1885.549,-324.2823
245.2057,1885.519,-324.2831
245.1889,1885.488,-324.2838
245.1721,1885.457,-324.2847
245.1554,1885.426,-324.2854
245.1386,1885.395,-324.2863
245.1218,1885.364,-324.2871
245.105,1885.333,-324.2879
245.0882,1885.302,-324.2887
245.0714,1885.271,-324.2895
245.0547,1885.241,-324.2903
245.0379,1885.21,-324.2911
245.0211,1885.179,-324.292
245.0044,1885.148,-324.2928
244.9876,1885.117,-324.2936
244.9708,1885.086,-324.2944
244.954,1885.055,-324.2952
244.9373,1885.024,-324.2961
244.9205,1884.993,-324.2969
244.9037,1884.962,-324.2977
244.887,1884.932,-324.2985
244.8702,1884.901,-324.2993
244.8535,1884.87,-324.3002
244.8367,1884.839,-324.301
244.82,1884.808,-324.3018
244.8032,1884.777,-324.3027
244.7865,1884.746,-324.3035
