t,j1,j2,j3,j4,j5,j6
0,-0.560179,0.40822,0.327816,0.661329,0.901688,1.83043e-07
0.084159,-0.558725,0.407788,0.32974,0.65979,0.903201,1.83625e-07
0.118024,-0.557219,0.407277,0.331729,0.658023,0.904172,1.84279e-07
0.156229,-0.555667,0.406697,0.333772,0.656066,0.904676,1.8499e-07
0.186202,-0.554073,0.406058,0.335858,0.653931,0.904782,1.85749e-07
0.212913,-0.552441,0.40537,0.337977,0.651633,0.90455,1.86547e-07
0.243184,-0.550773,0.404641,0.34012,0.649183,0.904034,1.87374e-07
0.268726,-0.549074,0.403878,0.342278,0.646594,0.903282,1.88225e-07
0.290175,-0.547344,0.403087,0.344445,0.643875,0.902337,1.89093e-07
0.310679,-0.545588,0.402273,0.346615,0.641036,0.901235,1.89972e-07
0.334032,-0.543806,0.401442,0.348782,0.638087,0.90001,1.90856e-07
0.36371,-0.542001,0.400598,0.350942,0.635037,0.89869,1.91743e-07
0.40168,-0.540174,0.399746,0.353091,0.631893,0.897303,1.92632e-07
0.432095,-0.538328,0.398887,0.355225,0.628664,0.895869,1.93521e-07
0.458306,-0.536462,0.398026,0.357341,0.625358,0.894409,1.94412e-07
0.481083,-0.53458,0.397164,0.359437,0.621982,0.89294,1.95303e-07
0.506027,-0.532682,0.396305,0.361511,0.618541,0.891476,1.96196e-07
0.534991,-0.530768,0.395449,0.36356,0.615043,0.890029,1.97089e-07
0.560154,-0.52884,0.394598,0.365584,0.611493,0.88861,1.97983e-07
0.585651,-0.526899,0.393754,0.367581,0.607895,0.887227,1.98879e-07
0.614919,-0.524945,0.392917,0.36955,0.604256,0.885887,1.99775e-07
0.639435,-0.522979,0.392088,0.37149,0.600579,0.884596,2.00672e-07
0.660842,-0.521001,0.391268,0.373402,0.596868,0.883359,2.01571e-07
0.68539,-0.519012,0.390458,0.375284,0.593127,0.882178,2.0247e-07
0.714827,-0.517012,0.389657,0.377136,0.589358,0.881056,2.0337e-07
0.740996,-0.515002,0.388866,0.378959,0.585564,0.879995,2.04271e-07
0.769877,-0.512981,0.388084,0.380751,0.581748,0.878995,2.05173e-07
0.806029,-0.510951,0.387313,0.382514,0.577911,0.878057,2.06077e-07
0.834505,-0.508911,0.386552,0.384247,0.574056,0.87718,2.06981e-07
0.858354,-0.506861,0.3858,0.38595,0.570184,0.876364,2.07886e-07
0.886424,-0.504801,0.385058,0.387624,0.566295,0.875609,2.08792e-07
0.921859,-0.502732,0.384326,0.389268,0.562392,0.874913,2.097e-07
0.950785,-0.500654,0.383603,0.390884,0.558475,0.874275,2.10607e-07
0.977676,-0.498567,0.382889,0.392471,0.554545,0.873694,2.11514e-07
1.00845,-0.49647,0.382184,0.394029,0.550602,0.873169,2.12414e-07
1.03409,-0.494364,0.381487,0.395559,0.546647,0.872697,2.13302e-07
1.05516,-0.492249,0.3808,0.397062,0.542682,0.872279,2.1416e-07
1.07397,-0.490125,0.38012,0.398536,0.538705,0.871912,2.14983e-07
1.09333,-0.487993,0.379449,0.399983,0.534719,0.871596,2.1577e-07
1.11538,-0.485851,0.378785,0.401402,0.530723,0.871329,2.16522e-07
1.14108,-0.483701,0.37813,0.402795,0.526718,0.871111,2.17241e-07
1.17144,-0.481542,0.377482,0.40416,0.522705,0.870939,2.17932e-07
1.1977,-0.479375,0.376842,0.405499,0.518686,0.870815,2.18596e-07
1.22347,-0.477199,0.376209,0.406812,0.514659,0.870736,2.19237e-07
1.25704,-0.475015,0.375583,0.408098,0.510628,0.870702,2.19858e-07
1.30497,-0.472823,0.374965,0.409357,0.506592,0.870713,2.2046e-07
1.34062,-0.470623,0.374354,0.410591,0.502552,0.870767,2.21046e-07
1.37607,-0.468415,0.37375,0.411799,0.498511,0.870866,2.21618e-07
1.42362,-0.4662,0.373154,0.412981,0.494469,0.871008,2.22178e-07
1.45756,-0.463977,0.372564,0.414137,0.490428,0.871193,2.22727e-07
1.48366,-0.461748,0.371982,0.415268,0.48639,0.871421,2.23268e-07
1.51069,-0.459511,0.371407,0.416373,0.482355,0.871692,2.23803e-07
1.54524,-0.457268,0.370839,0.417453,0.478326,0.872006,2.24334e-07
1.58146,-0.455018,0.370278,0.418508,0.474305,0.872362,2.24864e-07
1.60982,-0.452763,0.369725,0.419537,0.470293,0.872761,2.25397e-07
