t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
0,1.52237,-0.841098,0.972829,0.41409,2.84385,0.933989,
0.084159,1.52186,-0.837895,0.971478,0.415651,2.84747,0.932025,
0.118024,1.52137,-0.834682,0.970143,0.416644,2.85092,0.930037,
0.156229,1.52089,-0.831462,0.968825,0.417149,2.85422,0.928025,
0.186202,1.52043,-0.828233,0.967523,0.417232,2.85739,0.925978,
0.212913,1.51997,-0.824995,0.966238,0.416949,2.86047,0.923888,
0.243184,1.51953,-0.82175,0.96497,0.41635,2.86347,0.921745,
0.268726,1.5191,-0.818496,0.963718,0.415482,2.86641,0.919546,
0.290175,1.51869,-0.815234,0.962483,0.414384,2.8693,0.917284,
0.310679,1.51828,-0.811965,0.961266,0.413092,2.87216,0.914957,
0.334032,1.51789,-0.808687,0.960065,0.411637,2.87501,0.912562,
0.36371,1.51751,-0.805402,0.958881,0.410048,2.87784,0.910096,
0.40168,1.51714,-0.80211,0.957715,0.408348,2.88067,0.907559,
0.432095,1.51679,-0.79881,0.956565,0.406561,2.88351,0.904951,
0.458306,1.51645,-0.795502,0.955433,0.404706,2.88636,0.902271,
0.481083,1.51612,-0.792188,0.954319,0.402799,2.88923,0.899521,
0.506027,1.5158,-0.788866,0.953222,0.400854,2.89211,0.896701,
0.534991,1.5155,-0.785538,0.952143,0.398885,2.89503,0.893812,
0.560154,1.5152,-0.782202,0.951081,0.396901,2.89796,0.890857,
0.585651,1.51493,-0.778861,0.950037,0.394913,2.90092,0.887837,
0.614919,1.51466,-0.775512,0.94901,0.392926,2.90392,0.884755,
0.639435,1.51441,-0.772157,0.948001,0.390947,2.90694,0.881611,
0.660842,1.51416,-0.768796,0.94701,0.388981,2.90999,0.878408,
0.68539,1.51394,-0.765429,0.946037,0.387031,2.91307,0.875148,
0.714827,1.51372,-0.762056,0.945082,0.3851,2.91618,0.871833,
0.740996,1.51352,-0.758677,0.944145,0.383191,2.91931,0.868465,
0.769877,1.51333,-0.755292,0.943226,0.381303,2.92248,0.865045,
0.806029,1.51315,-0.751902,0.942325,0.379439,2.92567,0.861576,
0.834505,1.51298,-0.748506,0.941441,0.377597,2.92889,0.858059,
0.858354,1.51283,-0.745105,0.940576,0.375778,2.93213,0.854495,
0.886424,1.51269,-0.7417,0.939729,0.373981,2.93539,0.850886,
0.921859,1.51256,-0.738289,0.9389,0.372205,2.93868,0.847234,
0.950785,1.51245,-0.734873,0.938089,0.370449,2.94199,0.84354,
