t,j1,j2,j3,j4,j5,j6
1.65485,-0.224193,0.301359,0.428343,-0.0532681,0.830984,-3.7343e-05
1.68546,-0.223356,0.300951,0.428858,-0.0492048,0.831512,-3.73513e-05
1.71502,-0.222523,0.300545,0.429373,-0.0450905,0.832051,-3.73597e-05
1.75036,-0.221695,0.30014,0.429888,-0.0409255,0.832598,-3.73682e-05
1.78003,-0.220871,0.299737,0.430402,-0.0367114,0.833156,-3.73768e-05
1.80896,-0.220053,0.299336,0.430917,-0.0324486,0.833724,-3.73856e-05
1.84481,-0.219238,0.298937,0.431431,-0.0281377,0.834301,-3.73944e-05
1.88265,-0.218429,0.298539,0.431945,-0.023779,0.834889,-3.74034e-05
1.93272,-0.217623,0.298144,0.432459,-0.019374,0.835487,-3.74125e-05
1.97085,-0.216823,0.29775,0.432974,-0.0149237,0.836095,-3.74218e-05
2.00868,-0.216026,0.297358,0.433488,-0.0104288,0.836714,-3.74311e-05
2.05034,-0.215234,0.296968,0.434003,-0.0058902,0.837343,-3.74406e-05
2.11195,-0.214446,0.296581,0.434518,-0.00130846,0.837982,-3.74501e-05
2.15124,-0.213663,0.296195,0.435033,0.00331553,0.838632,-3.74598e-05
2.18172,-0.212883,0.295811,0.435549,0.00798034,0.839292,-3.74696e-05
2.21744,-0.212107,0.295429,0.436066,0.0126858,0.839963,-3.74795e-05
2.25445,-0.211335,0.295049,0.436583,0.0174305,0.840644,-3.74895e-05
2.30109,-0.210567,0.294671,0.4371,0.0222133,0.841336,-3.74996e-05
2.33722,-0.209803,0.294296,0.437619,0.0270328,0.842039,-3.75098e-05
2.37147,-0.209042,0.293922,0.438137,0.0318874,0.842752,-3.75201e-05
2.4133,-0.208285,0.293551,0.438657,0.0367784,0.843475,-3.75306e-05
2.44651,-0.207532,0.293182,0.439178,0.0417015,0.84421,-3.75411e-05
2.476,-0.206781,0.292815,0.4397,0.0466571,0.844954,-3.75518e-05
2.51109,-0.206034,0.29245,0.440222,0.0516445,0.845709,-3.75625e-05
2.55029,-0.20529,0.292088,0.440746,0.0566626,0.846475,-3.75734e-05
2.60206,-0.204549,0.291728,0.441271,0.0617098,0.84725,-3.75843e-05
2.64344,-0.203811,0.29137,0.441797,0.0667835,0.848036,-3.75954e-05
2.68889,-0.203076,0.291014,0.442324,0.0718839,0.848833,-3.76066e-05
2.7244,-0.202344,0.290661,0.442852,0.0770097,0.849639,-3.76179e-05
2.75903,-0.201614,0.29031,0.443382,0.0821597,0.850455,-3.76293e-05
2.80117,-0.200886,0.289962,0.443913,0.0873324,0.851281,-3.76408e-05
2.83589,-0.200161,0.289615,0.444445,0.0925268,0.852117,-3.76524e-05
2.87097,-0.199438,0.289271,0.444979,0.0977413,0.852963,-3.76642e-05
2.91425,-0.198717,0.28893,0.445514,0.102974,0.853817,-3.7676e-05
2.94854,-0.197997,0.288591,0.446051,0.108223,0.854681,-3.76879e-05
2.97893,-0.19728,0.288254,0.446589,0.113488,0.855554,-3.77e-05
3.01819,-0.196564,0.28792,0.447129,0.118767,0.856436,-3.77121e-05
3.07573,-0.19585,0.287588,0.44767,0.12406,0.857327,-3.77244e-05
3.11646,-0.195137,0.287259,0.448213,0.129364,0.858225,-3.77368e-05
3.15225,-0.194425,0.286931,0.448758,0.134677,0.859132,-3.77493e-05
3.1949,-0.193714,0.286607,0.449304,0.140001,0.860047,-3.77619e-05
3.2303,-0.193004,0.286285,0.449852,0.145331,0.86097,-3.77746e-05
3.26758,-0.192295,0.285965,0.450402,0.150666,0.8619,-3.77874e-05
3.31541,-0.191586,0.285647,0.450953,0.156007,0.862837,-3.78003e-05
3.35432,-0.190878,0.285332,0.451507,0.16135,0.86378,-3.78133e-05
3.39329,-0.19017,0.28502,0.452062,0.166695,0.864731,-3.78265e-05
3.42582,-0.189462,0.284709,0.452618,0.172039,0.865687,-3.78397e-05
3.46091,-0.188754,0.284402,0.453177,0.177381,0.866648,-3.78531e-05
3.50481,-0.188046,0.284096,0.453736,0.182719,0.867615,-3.78665e-05
3.54039,-0.187337,0.283793,0.454298,0.188052,0.868587,-3.78801e-05
3.57554,-0.186628,0.283492,0.454861,0.19338,0.869564,-3.78938e-05
3.61827,-0.185918,0.283194,0.455426,0.198699,0.870544,-3.79076e-05
3.65367,-0.185207,0.282898,0.455993,0.20401,0.871529,-3.79215e-05
3.69121,-0.184495,0.282604,0.456562,0.209309,0.872517,-3.79355e-05
3.73969,-0.183782,0.282313,0.457131,0.214597,0.873507,-3.79496e-05
3.77696,-0.183067,0.282023,0.457703,0.219871,0.8745,-3.79638e-05
3.81141,-0.182351,0.281736,0.458276,0.225129,0.875495,-3.79781e-05
3.85274,-0.181632,0.281452,0.45885,0.230371,0.876491,-3.79926e-05
3.88729,-0.180912,0.281169,0.459426,0.235595,0.877489,-3.80071e-05
3.91546,-0.18019,0.280889,0.460004,0.240799,0.878487,-3.80217e-05
3.94537,-0.179466,0.280611,0.460582,0.245981,0.879484,-3.80365e-05
3.9834,-0.178739,0.280335,0.461162,0.251141,0.880482,-3.80513e-05
4.02633,-0.178009,0.280061,0.461743,0.256277,0.881478,-3.80663e-05
4.066,-0.177276,0.279789,0.462326,0.261388,0.882472,-3.80813e-05
4.09721,-0.176541,0.279519,0.462909,0.266472,0.883465,-3.80965e-05
4.12883,-0.175802,0.279251,0.463493,0.271528,0.884454,-3.81118e-05
4.16613,-0.17506,0.278985,0.464079,0.276554,0.885441,-3.81271e-05
4.1979,-0.174315,0.278721,0.464665,0.281549,0.886423,-3.81426e-05
4.23128,-0.173565,0.278459,0.465252,0.286512,0.887402,-3.81582e-05
4.27219,-0.172812,0.278199,0.465839,0.291441,0.888375,-3.81738e-05
4.30697,-0.172055,0.277941,0.466427,0.296335,0.889343,-3.81896e-05
4.34589,-0.171294,0.277684,0.467016,0.301192,0.890304,-3.82054e-05
4.38526,-0.170528,0.277429,0.467604,0.306011,0.891259,-3.82213e-05
4.43836,-0.169758,0.277177,0.468193,0.310791,0.892207,-3.82374e-05
4.48044,-0.168983,0.276925,0.468782,0.315531,0.893146,-3.82535e-05
4.5117,-0.168203,0.276676,0.469371,0.320229,0.894077,-3.82697e-05
4.5423,-0.167419,0.276428,0.46996,0.324885,0.894999,-3.8286e-05
4.56916,-0.166629,0.276182,0.470549,0.329496,0.895911,-3.83023e-05
4.59983,-0.165833,0.275937,0.471137,0.334061,0.896813,-3.83187e-05
4.63779,-0.165033,0.275694,0.471725,0.33858,0.897704,-3.83353e-05
4.66948,-0.164226,0.275452,0.472311,0.34305,0.898583,-3.83518e-05
4.7032,-0.163414,0.275212,0.472898,0.347473,0.899451,-3.83685e-05
4.74555,-0.162595,0.274973,0.473483,0.351847,0.900306,-3.83853e-05
4.77958,-0.161771,0.274735,0.474067,0.356168,0.901147,-3.84022e-05
4.80507,-0.16094,0.274499,0.47465,0.360438,0.901975,-3.84192e-05
4.82705,-0.160103,0.274264,0.475231,0.364654,0.902788,-3.84363e-05
4.85142,-0.159259,0.27403,0.475811,0.368815,0.903586,-3.84536e-05
4.88276,-0.158408,0.273798,0.476388,0.37292,0.904368,-3.84709e-05
4.92336,-0.157551,0.273567,0.476964,0.376967,0.905134,-3.84884e-05
4.95482,-0.156686,0.273337,0.477538,0.380956,0.905883,-3.8506e-05
4.984,-0.155815,0.273108,0.478109,0.384887,0.906615,-3.85237e-05
5.0192,-0.154936,0.27288,0.478677,0.388756,0.907328,-3.85414e-05
5.05331,-0.15405,0.272654,0.479243,0.392565,0.908023,-3.85593e-05
5.09517,-0.153156,0.272428,0.479806,0.396311,0.908698,-3.85772e-05
5.12913,-0.152254,0.272203,0.480366,0.399994,0.909354,-3.85953e-05
5.16801,-0.151344,0.27198,0.480922,0.403613,0.90999,-3.86135e-05
5.1979,-0.150427,0.271757,0.481475,0.407165,0.910605,-3.86317e-05
5.22598,-0.149501,0.271535,0.482025,0.410651,0.911198,-3.86501e-05
5.25895,-0.148567,0.271314,0.48257,0.414069,0.911769,-3.86686e-05
5.28549,-0.147625,0.271094,0.483111,0.417418,0.912318,-3.86872e-05
5.31,-0.146674,0.270875,0.483647,0.420697,0.912843,-3.87059e-05
5.33766,-0.145714,0.270657,0.484179,0.423906,0.913345,-3.87247e-05
5.3617,-0.144745,0.270439,0.484707,0.427042,0.913823,-3.87435e-05
5.38174,-0.143768,0.270222,0.485229,0.430105,0.914276,-3.87625e-05
5.40267,-0.142782,0.270006,0.485746,0.433094,0.914704,-3.87816e-05
5.42743,-0.141786,0.269791,0.486257,0.436007,0.915106,-3.88007e-05
5.45201,-0.140781,0.269576,0.486762,0.438844,0.915482,-3.882e-05
5.47302,-0.139767,0.269362,0.487262,0.441603,0.915832,-3.88393e-05
5.49579,-0.138743,0.269149,0.487755,0.444283,0.916154,-3.88588e-05
5.52264,-0.137709,0.268936,0.488242,0.446883,0.916449,-3.88783e-05
5.54466,-0.136665,0.268724,0.488722,0.449403,0.916715,-3.88979e-05
5.56568,-0.135612,0.268513,0.489195,0.45184,0.916953,-3.89176e-05
5.58916,-0.134548,0.268302,0.489661,0.454193,0.917161,-3.89373e-05
5.60831,-0.133474,0.268092,0.49012,0.456461,0.91734,-3.89572e-05
5.6244,-0.13239,0.267883,0.490571,0.458644,0.917489,-3.89771e-05
5.64171,-0.131296,0.267674,0.491013,0.460739,0.917608,-3.89971e-05
5.66295,-0.130191,0.267466,0.491448,0.462745,0.917695,-3.90172e-05
5.6891,-0.129075,0.267259,0.491874,0.464661,0.917752,-3.90373e-05
5.71331,-0.127948,0.267052,0.492292,0.466486,0.917776,-3.90575e-05
5.74378,-0.12681,0.266845,0.4927,0.468218,0.917768,-3.90778e-05
5.7681,-0.125662,0.26664,0.493099,0.469856,0.917728,-3.90981e-05
5.78736,-0.124502,0.266435,0.493489,0.471398,0.917655,-3.91184e-05
5.80735,-0.12333,0.26623,0.493869,0.472842,0.917548,-3.91389e-05
5.82458,-0.122147,0.266027,0.494239,0.474188,0.917407,-3.91594e-05
5.83988,-0.120953,0.265824,0.494599,0.475433,0.917233,-3.91799e-05
5.85387,-0.119747,0.265622,0.494949,0.476576,0.917023,-3.92005e-05
5.86895,-0.11853,0.26542,0.495287,0.477615,0.916779,-3.92211e-05
5.88589,-0.1173,0.265219,0.495615,0.478549,0.9165,-3.92418e-05
5.90127,-0.116058,0.26502,0.495931,0.479375,0.916185,-3.92625e-05
5.91478,-0.114804,0.264821,0.496236,0.480092,0.915834,-3.92832e-05
5.92697,-0.113538,0.264622,0.496529,0.480698,0.915447,-3.9304e-05
5.93819,-0.112259,0.264425,0.496811,0.481191,0.915023,-3.93248e-05
