t,j1,j2,j3,j4,j5,j6
2.18169,0.305364,0.321447,0.433164,1.13743,1.03712,1.34189e-06
2.22791,0.303321,0.321004,0.434707,1.13896,1.03632,1.3422e-06
2.26241,0.301279,0.320561,0.436255,1.14047,1.03552,1.34251e-06
2.2948,0.299239,0.32012,0.43781,1.14196,1.03473,1.34282e-06
2.32028,0.297201,0.319679,0.43937,1.14344,1.03395,1.34314e-06
2.34201,0.295163,0.319239,0.440935,1.1449,1.03318,1.34346e-06
2.36097,0.293127,0.3188,0.442505,1.14635,1.03242,1.34378e-06
2.37962,0.291093,0.318362,0.44408,1.14778,1.03167,1.34411e-06
2.40097,0.289059,0.317926,0.44566,1.1492,1.03092,1.34444e-06
2.42799,0.287027,0.317491,0.447244,1.1506,1.03019,1.34477e-06
2.46244,0.284996,0.317057,0.448833,1.15198,1.02947,1.34511e-06
2.4918,0.282966,0.316624,0.450427,1.15336,1.02876,1.34545e-06
2.52302,0.280937,0.316193,0.452024,1.15472,1.02806,1.34579e-06
2.54987,0.278909,0.315764,0.453626,1.15606,1.02737,1.34614e-06
2.57791,0.276882,0.315336,0.455232,1.15739,1.0267,1.34649e-06
2.60214,0.274856,0.31491,0.456841,1.15871,1.02603,1.34684e-06
2.62729,0.272831,0.314486,0.458455,1.16002,1.02537,1.34719e-06
2.65908,0.270807,0.314063,0.460072,1.16131,1.02473,1.34754e-06
2.69622,0.268783,0.313643,0.461692,1.1626,1.02409,1.34788e-06
2.75229,0.26676,0.313224,0.463316,1.16387,1.02347,1.34823e-06
2.79117,0.264738,0.312807,0.464943,1.16513,1.02285,1.34858e-06
2.83126,0.262716,0.312393,0.466574,1.16638,1.02225,1.34893e-06
2.86282,0.260695,0.311981,0.468207,1.16762,1.02166,1.34927e-06
2.8974,0.258674,0.311571,0.469844,1.16885,1.02108,1.34962e-06
2.92537,0.256653,0.311163,0.471483,1.17007,1.02052,1.34996e-06
2.95352,0.254633,0.310757,0.473125,1.17128,1.01996,1.35032e-06
2.98792,0.252613,0.310354,0.47477,1.17248,1.01942,1.35068e-06
3.01682,0.250594,0.309954,0.476417,1.17368,1.01889,1.35104e-06
3.05004,0.248574,0.309556,0.478067,1.17487,1.01837,1.35141e-06
3.09783,0.246555,0.309161,0.479719,1.17605,1.01786,1.35179e-06
3.13234,0.244536,0.308768,0.481373,1.17722,1.01736,1.35216e-06
3.16282,0.242516,0.308378,0.48303,1.17838,1.01688,1.35254e-06
3.18836,0.240497,0.307991,0.484688,1.17954,1.0164,1.35292e-06
3.2153,0.238478,0.307607,0.486348,1.18069,1.01594,1.3533e-06
3.23881,0.236458,0.307226,0.48801,1.18184,1.01549,1.35369e-06
3.2629,0.234438,0.306848,0.489674,1.18298,1.01506,1.35407e-06
3.29425,0.232418,0.306473,0.491339,1.18411,1.01463,1.35446e-06
3.33408,0.230398,0.306101,0.493005,1.18524,1.01422,1.35485e-06
3.3638,0.228377,0.305732,0.494673,1.18636,1.01382,1.35524e-06
3.38832,0.226356,0.305367,0.496341,1.18748,1.01344,1.35564e-06
3.41534,0.224334,0.305004,0.498011,1.18859,1.01306,1.35604e-06
3.43852,0.222312,0.304646,0.499681,1.1897,1.0127,1.35644e-06
3.45983,0.220289,0.30429,0.501353,1.1908,1.01235,1.35685e-06
3.48514,0.218266,0.303939,0.503024,1.19189,1.01201,1.35726e-06
3.5161,0.216242,0.30359,0.504697,1.19298,1.01169,1.35767e-06
3.54205,0.214217,0.303246,0.506369,1.19406,1.01137,1.35808e-06
3.56708,0.212192,0.302905,0.508042,1.19514,1.01107,1.3585e-06
3.59589,0.210165,0.302568,0.509714,1.19622,1.01079,1.35893e-06
3.62038,0.208138,0.302235,0.511387,1.19728,1.01051,1.35936e-06
3.6434,0.206111,0.301906,0.513059,1.19835,1.01025,1.35979e-06
3.67209,0.204082,0.30158,0.514731,1.1994,1.01,1.36022e-06
3.70951,0.202052,0.301259,0.516402,1.20045,1.00977,1.36066e-06
3.73825,0.200021,0.300942,0.518072,1.2015,1.00954,1.3611e-06
3.76337,0.197989,0.300629,0.519742,1.20254,1.00933,1.36155e-06
3.79619,0.195957,0.30032,0.52141,1.20357,1.00914,1.36199e-06
3.84604,0.193923,0.300015,0.523078,1.20459,1.00895,1.36245e-06
3.88132,0.191887,0.299715,0.524744,1.20561,1.00878,1.3629e-06
3.91738,0.189851,0.299419,0.526408,1.20663,1.00862,1.36336e-06
3.97054,0.187814,0.299128,0.528071,1.20763,1.00847,1.36382e-06
4.00478,0.185775,0.298841,0.529733,1.20863,1.00834,1.36429e-06
4.0322,0.183734,0.298559,0.531392,1.20962,1.00822,1.36476e-06
4.06437,0.181693,0.298281,0.533049,1.21061,1.00811,1.36523e-06
4.09532,0.17965,0.298008,0.534705,1.21159,1.00802,1.36571e-06
4.13271,0.177605,0.29774,0.536357,1.21256,1.00794,1.36619e-06
4.16357,0.17556,0.297477,0.538008,1.21352,1.00787,1.36667e-06
4.19506,0.173512,0.297218,0.539656,1.21448,1.00781,1.36716e-06
4.22068,0.171463,0.296965,0.541301,1.21542,1.00777,1.36765e-06
4.24481,0.169413,0.296716,0.542943,1.21636,1.00774,1.36815e-06
4.27202,0.16736,0.296473,0.544582,1.21729,1.00772,1.36865e-06
4.29517,0.165307,0.296234,0.546218,1.21822,1.00772,1.36915e-06
4.31505,0.163251,0.296001,0.547851,1.21913,1.00773,1.36965e-06
4.33567,0.161194,0.295773,0.54948,1.22003,1.00775,1.37016e-06
4.35862,0.159134,0.29555,0.551105,1.22093,1.00779,1.37067e-06
4.37997,0.157073,0.295333,0.552727,1.22182,1.00784,1.37119e-06
4.40425,0.155011,0.295121,0.554345,1.22269,1.0079,1.37171e-06
4.43334,0.152946,0.294915,0.555959,1.22356,1.00797,1.37223e-06
4.45784,0.150879,0.294714,0.557569,1.22442,1.00806,1.37276e-06
4.47999,0.148811,0.294518,0.559175,1.22527,1.00816,1.37328e-06
4.50546,0.14674,0.294328,0.560777,1.22611,1.00828,1.37381e-06
4.53466,0.144667,0.294144,0.562373,1.22694,1.0084,1.37433e-06
4.57118,0.142592,0.293965,0.563966,1.22776,1.00854,1.37486e-06
4.60007,0.140516,0.293793,0.565553,1.22856,1.0087,1.37539e-06
4.62657,0.138437,0.293626,0.567135,1.22936,1.00886,1.37591e-06
4.65715,0.136355,0.293465,0.568713,1.23015,1.00904,1.37644e-06
4.68329,0.134272,0.29331,0.570285,1.23092,1.00923,1.37696e-06
4.70969,0.132186,0.29316,0.571852,1.23169,1.00944,1.37748e-06
4.74569,0.130098,0.293017,0.573413,1.23244,1.00966,1.378e-06
4.7915,0.128008,0.29288,0.574969,1.23318,1.00989,1.37851e-06
4.82369,0.125915,0.292749,0.57652,1.23391,1.01013,1.37902e-06
4.85387,0.12382,0.292625,0.578064,1.23463,1.01039,1.37953e-06
4.89099,0.121723,0.292506,0.579602,1.23533,1.01066,1.38004e-06
4.9206,0.119623,0.292394,0.581134,1.23603,1.01094,1.38056e-06
4.94641,0.11752,0.292288,0.58266,1.23671,1.01124,1.38108e-06
4.96853,0.115416,0.292189,0.58418,1.23738,1.01155,1.38162e-06
4.99118,0.113308,0.292096,0.585693,1.23803,1.01187,1.38215e-06
5.01978,0.111198,0.292009,0.587199,1.23867,1.01221,1.3827e-06
5.05736,0.109086,0.291929,0.588699,1.2393,1.01256,1.38324e-06
5.08828,0.106971,0.291856,0.590192,1.23992,1.01292,1.38378e-06
5.124,0.104853,0.291789,0.591677,1.24052,1.01329,1.38432e-06
5.17825,0.102733,0.291729,0.593156,1.2411,1.01368,1.38487e-06
5.21383,0.10061,0.291675,0.594627,1.24168,1.01408,1.38541e-06
5.24401,0.0984838,0.291629,0.596091,1.24223,1.01449,1.38595e-06
5.2801,0.0963553,0.291589,0.597547,1.24278,1.01492,1.38649e-06
5.30946,0.094224,0.291556,0.598995,1.2433,1.01536,1.38704e-06
5.33868,0.09209,0.29153,0.600435,1.24382,1.01581,1.38758e-06
5.37449,0.0899532,0.291511,0.601868,1.24431,1.01627,1.38812e-06
5.40325,0.0878135,0.291499,0.603292,1.2448,1.01675,1.38866e-06
5.43,0.0856711,0.291494,0.604708,1.24526,1.01724,1.3892e-06
5.46137,0.0835257,0.291496,0.606115,1.24571,1.01774,1.38975e-06
5.49059,0.0813775,0.291505,0.607514,1.24614,1.01826,1.39029e-06
5.52437,0.0792264,0.291522,0.608904,1.24656,1.01879,1.39083e-06
5.5525,0.0770724,0.291545,0.610286,1.24696,1.01933,1.39138e-06
5.57803,0.0749155,0.291576,0.611658,1.24734,1.01988,1.39193e-06
5.60055,0.0727556,0.291615,0.613021,1.2477,1.02045,1.39248e-06
5.62583,0.0705927,0.29166,0.614375,1.24805,1.02103,1.39303e-06
5.65617,0.0684268,0.291713,0.61572,1.24838,1.02162,1.39358e-06
5.68197,0.066258,0.291774,0.617055,1.24869,1.02222,1.39414e-06
5.7066,0.0640861,0.291842,0.61838,1.24898,1.02284,1.39471e-06
5.73817,0.0619112,0.291917,0.619696,1.24925,1.02347,1.39527e-06
5.78249,0.0597332,0.292001,0.621001,1.24951,1.02411,1.39584e-06
5.8148,0.0575522,0.292091,0.622297,1.24974,1.02477,1.39642e-06
5.84254,0.0553681,0.29219,0.623582,1.24996,1.02543,1.39699e-06
5.87438,0.0531809,0.292296,0.624857,1.25016,1.02611,1.39757e-06
5.90077,0.0509905,0.29241,0.626122,1.25033,1.02681,1.39816e-06
5.92462,0.0487971,0.292531,0.627375,1.25049,1.02751,1.39874e-06
5.95201,0.0466005,0.292661,0.628619,1.25063,1.02823,1.39934e-06
5.98113,0.0444008,0.292798,0.629851,1.25075,1.02896,1.39993e-06
6.01603,0.0421979,0.292944,0.631072,1.25085,1.0297,1.40053e-06
6.04401,0.0399919,0.293097,0.632282,1.25092,1.03046,1.40113e-06
6.067,0.0377827,0.293258,0.633481,1.25098,1.03123,1.40174e-06
6.08694,0.0355703,0.293427,0.634669,1.25102,1.03201,1.40235e-06
6.10623,0.0333547,0.293605,0.635844,1.25103,1.0328,1.40296e-06
6.12791,0.0311358,0.29379,0.637009,1.25103,1.0336,1.40357e-06
6.15366,0.0289138,0.293984,0.638161,1.251,1.03442,1.40419e-06
