t,j1,j2,j3,j4,j5,j6
0,-0.285934,0.407543,0.251547,-0.00132184,0.910503,-1.54163e-05
0.0613068,-0.284823,0.407067,0.252221,-0.00129516,0.910314,-1.54163e-05
0.0877618,-0.283717,0.406593,0.252891,-0.00121126,0.910138,-1.54163e-05
0.121948,-0.282616,0.406122,0.253558,-0.00107007,0.909976,-1.54164e-05
0.145346,-0.28152,0.405652,0.254222,-0.00087152,0.909828,-1.54166e-05
0.163888,-0.280428,0.405184,0.254883,-0.000615544,0.909694,-1.54168e-05
0.186321,-0.279341,0.404719,0.255541,-0.00030208,0.909573,-1.54172e-05
0.213271,-0.278259,0.404255,0.256197,6.89287e-05,0.909466,-1.54176e-05
0.234267,-0.277182,0.403793,0.256849,0.000497536,0.909371,-1.5418e-05
0.255198,-0.27611,0.403334,0.257498,0.000983791,0.90929,-1.54186e-05
0.280872,-0.275042,0.402876,0.258144,0.00152774,0.909222,-1.54192e-05
0.30206,-0.273979,0.40242,0.258788,0.00212941,0.909167,-1.54199e-05
0.32254,-0.272922,0.401966,0.259429,0.00278885,0.909124,-1.54207e-05
0.339662,-0.271868,0.401514,0.260067,0.00350609,0.909095,-1.54216e-05
0.355306,-0.27082,0.401063,0.260702,0.00428115,0.909077,-1.54225e-05
0.369032,-0.269777,0.400615,0.261335,0.00511405,0.909073,-1.54236e-05
0.382389,-0.268738,0.400168,0.261965,0.00600481,0.90908,-1.54247e-05
0.396683,-0.267705,0.399723,0.262593,0.00695343,0.9091,-1.54258e-05
0.410007,-0.266676,0.39928,0.263218,0.00795993,0.909132,-1.54271e-05
0.423987,-0.265652,0.398839,0.26384,0.0090243,0.909176,-1.54284e-05
0.439411,-0.264633,0.3984,0.264461,0.0101465,0.909232,-1.54299e-05
0.453605,-0.263619,0.397962,0.265079,0.0113266,0.9093,-1.54314e-05
0.468492,-0.262609,0.397526,0.265694,0.0125646,0.90938,-1.54329e-05
0.485159,-0.261605,0.397092,0.266308,0.0138603,0.909472,-1.54346e-05
0.500281,-0.260606,0.39666,0.266919,0.0152136,0.909575,-1.54363e-05
0.516221,-0.259611,0.396229,0.267528,0.0166246,0.90969,-1.54382e-05
0.534465,-0.258622,0.395801,0.268134,0.0180933,0.909817,-1.54401e-05
0.550593,-0.257637,0.395374,0.268739,0.0196196,0.909955,-1.5442e-05
0.566767,-0.256657,0.394948,0.269342,0.0212035,0.910105,-1.54441e-05
0.585688,-0.255683,0.394525,0.269942,0.0228449,0.910267,-1.54463e-05
0.604956,-0.254713,0.394103,0.270541,0.0245436,0.91044,-1.54485e-05
0.627842,-0.253748,0.393683,0.271138,0.0262994,0.910624,-1.54508e-05
0.646683,-0.252789,0.393265,0.271733,0.0281124,0.91082,-1.54532e-05
0.662813,-0.251834,0.392848,0.272326,0.0299825,0.911027,-1.54557e-05
0.680316,-0.250884,0.392433,0.272918,0.0319097,0.911246,-1.54583e-05
0.699623,-0.249939,0.39202,0.273508,0.0338938,0.911476,-1.54609e-05
0.717106,-0.248999,0.391609,0.274096,0.0359345,0.911717,-1.54637e-05
0.736031,-0.248064,0.391199,0.274682,0.0380316,0.911969,-1.54665e-05
0.758794,-0.247134,0.390791,0.275267,0.0401853,0.912233,-1.54694e-05
0.778469,-0.246209,0.390385,0.275851,0.0423952,0.912509,-1.54724e-05
0.796923,-0.245288,0.389981,0.276433,0.0446614,0.912795,-1.54754e-05
0.817795,-0.244373,0.389578,0.277014,0.0469831,0.913093,-1.54786e-05
0.836311,-0.243463,0.389177,0.277594,0.0493606,0.913402,-1.54818e-05
0.853601,-0.242557,0.388778,0.278172,0.0517937,0.913723,-1.54851e-05
0.874076,-0.241657,0.388381,0.27875,0.0542823,0.914055,-1.54884e-05
0.898088,-0.240761,0.387986,0.279326,0.0568254,0.914398,-1.54919e-05
0.919127,-0.23987,0.387592,0.279901,0.0594234,0.914752,-1.54954e-05
0.940194,-0.238984,0.3872,0.280475,0.0620761,0.915118,-1.5499e-05
0.964714,-0.238103,0.38681,0.281048,0.0647832,0.915496,-1.55026e-05
0.986291,-0.237227,0.386422,0.28162,0.0675438,0.915884,-1.55064e-05
1.00752,-0.236356,0.386036,0.282191,0.0703582,0.916284,-1.55102e-05
1.0343,-0.235489,0.385652,0.282762,0.073226,0.916696,-1.55141e-05
1.06551,-0.234627,0.385269,0.283332,0.076147,0.917119,-1.5518e-05
1.09042,-0.233771,0.384888,0.283901,0.0791202,0.917553,-1.55221e-05
1.11303,-0.232918,0.38451,0.28447,0.0821458,0.917999,-1.55262e-05
1.1396,-0.232071,0.384133,0.285038,0.0852236,0.918457,-1.55304e-05
1.16745,-0.231228,0.383758,0.285606,0.0883526,0.918926,-1.55346e-05
1.20163,-0.23039,0.383385,0.286173,0.0915326,0.919406,-1.55389e-05
1.22931,-0.229556,0.383014,0.28674,0.0947635,0.919899,-1.55434e-05
1.2556,-0.228727,0.382645,0.287307,0.0980444,0.920402,-1.55478e-05
1.28763,-0.227903,0.382277,0.287873,0.101375,0.920917,-1.55524e-05
1.31825,-0.227083,0.381912,0.28844,0.104755,0.921444,-1.5557e-05
1.3556,-0.226267,0.381549,0.289006,0.108184,0.921983,-1.55617e-05
1.38419,-0.225456,0.381188,0.289572,0.11166,0.922533,-1.55665e-05
1.40701,-0.22465,0.380829,0.290139,0.115185,0.923095,-1.55713e-05
1.42957,-0.223848,0.380472,0.290705,0.118757,0.923668,-1.55762e-05
1.45652,-0.22305,0.380117,0.291271,0.122375,0.924253,-1.55812e-05
1.48828,-0.222256,0.379764,0.291838,0.126039,0.92485,-1.55862e-05
1.53015,-0.221467,0.379413,0.292405,0.129748,0.925458,-1.55913e-05
1.5649,-0.220681,0.379064,0.292973,0.133502,0.926078,-1.55965e-05
1.60547,-0.2199,0.378718,0.293541,0.1373,0.926709,-1.56018e-05
1.63708,-0.219123,0.378373,0.294109,0.141141,0.927353,-1.56071e-05
1.6673,-0.21835,0.378031,0.294678,0.145025,0.928007,-1.56124e-05
1.70415,-0.217581,0.377691,0.295247,0.148951,0.928673,-1.56179e-05
1.73483,-0.216815,0.377353,0.295817,0.152918,0.929351,-1.56234e-05
1.767,-0.216054,0.377017,0.296388,0.156925,0.93004,-1.56289e-05
1.80843,-0.215296,0.376683,0.29696,0.160972,0.930741,-1.56346e-05
1.83986,-0.214542,0.376352,0.297532,0.165057,0.931453,-1.56402e-05
1.86556,-0.213791,0.376023,0.298105,0.16918,0.932176,-1.5646e-05
1.89547,-0.213044,0.375696,0.298679,0.173341,0.93291,-1.56518e-05
1.93369,-0.212301,0.375371,0.299255,0.177537,0.933656,-1.56576e-05
1.96538,-0.21156,0.375049,0.299831,0.181769,0.934413,-1.56635e-05
1.99839,-0.210823,0.374729,0.300408,0.186036,0.935181,-1.56695e-05
2.04052,-0.210089,0.374411,0.300987,0.190336,0.935959,-1.56755e-05
2.07428,-0.209358,0.374095,0.301566,0.194669,0.936749,-1.56816e-05
