t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
0,1.7,-0.5,1.0254,3.14025,0.000859447,-2.85648,
0.0613068,1.7,-0.497945,1.0254,3.14028,0.000859465,-2.85758,
0.0877618,1.7,-0.49589,1.0254,3.14035,0.000859522,-2.85863,
0.121948,1.69999,-0.493835,1.0254,3.14046,0.000859615,-2.85965,
0.145346,1.69999,-0.49178,1.0254,3.14063,0.000859746,-2.86062,
0.163888,1.69998,-0.489725,1.0254,3.14084,0.000859915,-2.86156,
0.186321,1.69997,-0.48767,1.0254,3.1411,0.000860121,-2.86245,
0.213271,1.69995,-0.485615,1.0254,3.1414,0.000860365,-2.86331,
0.234267,1.69994,-0.48356,1.0254,0.000163336,3.14073,0.277472,
0.255198,1.69992,-0.481506,1.0254,0.000562886,3.14073,0.276698,
0.280872,1.6999,-0.479451,1.0254,0.00100944,3.14073,0.275965,
0.30206,1.69987,-0.477396,1.0254,0.001503,3.14073,0.275271,
0.32254,1.69985,-0.475341,1.0254,0.00204356,3.14073,0.274619,
0.339662,1.69982,-0.473286,1.0254,0.00263112,3.14073,0.274006,
0.355306,1.69979,-0.471231,1.0254,0.00326568,3.14073,0.273434,
0.369032,1.69976,-0.469176,1.0254,0.00394723,3.14073,0.272903,
0.382389,1.69972,-0.467121,1.0254,0.00467577,3.14073,0.272412,
0.396683,1.69968,-0.465066,1.0254,0.0054513,3.14073,0.271961,
0.410007,1.69964,-0.463011,1.0254,0.0062738,3.14073,0.271551,
0.423987,1.6996,-0.460956,1.0254,0.00714327,3.14073,0.271182,
0.439411,1.69956,-0.458901,1.0254,0.0080597,3.14073,0.270853,
0.453605,1.69951,-0.456846,1.0254,0.00902309,3.14072,0.270564,
0.468492,1.69946,-0.454791,1.0254,0.0100334,3.14072,0.270316,
0.485159,1.69941,-0.452736,1.0254,0.0110906,3.14072,0.270109,
0.500281,1.69935,-0.450681,1.0254,0.0121946,3.14072,0.269942,
0.516221,1.69929,-0.448626,1.02539,0.0133453,3.14072,0.269815,
0.534465,1.69924,-0.446572,1.02539,0.014543,3.14072,0.269729,
0.550593,1.69917,-0.444517,1.02539,0.0157874,3.14072,0.269683,
0.566767,1.69911,-0.442463,1.02539,0.0170787,3.14072,0.269677,
0.585688,1.69904,-0.440408,1.02539,0.0184167,3.14072,0.269711,
0.604956,1.69897,-0.438353,1.02539,0.0198012,3.14072,0.269786,
0.627842,1.6989,-0.436299,1.02539,0.0212322,3.14071,0.269901,
0.646683,1.69883,-0.434245,1.02539,0.0227098,3.14071,0.270055,
0.662813,1.69875,-0.432191,1.02538,0.024234,3.14071,0.27025,
0.680316,1.69868,-0.430137,1.02538,0.0258047,3.14071,0.270484,
0.699623,1.6986,-0.428083,1.02538,0.0274218,3.14071,0.270758,
0.717106,1.69851,-0.426029,1.02538,0.0290852,3.14071,0.271072,
0.736031,1.69843,-0.423976,1.02537,0.0307947,3.14071,0.271425,
0.758794,1.69834,-0.421922,1.02537,0.0325504,3.14071,0.271818,
0.778469,1.69825,-0.419869,1.02537,0.0343522,3.1407,0.272249,
0.796923,1.69816,-0.417815,1.02536,0.0362002,3.1407,0.27272,
0.817795,1.69806,-0.415762,1.02536,0.0380936,3.1407,0.27323,
0.836311,1.69797,-0.413709,1.02536,0.040033,3.1407,0.273779,
0.853601,1.69787,-0.411655,1.02535,0.0420181,3.1407,0.274366,
0.874076,1.69776,-0.409602,1.02535,0.0440488,3.1407,0.274991,
0.898088,1.69766,-0.40755,1.02534,0.0461246,3.14069,0.275655,
0.919127,1.69755,-0.405497,1.02534,0.0482457,3.14069,0.276357,
0.940194,1.69744,-0.403444,1.02533,0.050412,3.14069,0.277097,
0.964714,1.69733,-0.401392,1.02533,0.0526233,3.14069,0.277874,
0.986291,1.69722,-0.399339,1.02532,0.0548792,3.14069,0.278689,
1.00752,1.6971,-0.397287,1.02531,0.0571796,3.14068,0.27954,
1.0343,1.69699,-0.395235,1.02531,0.0595246,3.14068,0.280429,
1.06551,1.69687,-0.393183,1.0253,0.0619139,3.14068,0.281355,
1.09042,1.69674,-0.391131,1.02529,0.0643467,3.14068,0.282316,
1.11303,1.69662,-0.38908,1.02528,0.0668235,3.14068,0.283314,
1.1396,1.69649,-0.387028,1.02527,0.069344,3.14067,0.284348,
1.16745,1.69636,-0.384977,1.02526,0.0719075,3.14067,0.285417,
1.20163,1.69623,-0.382925,1.02525,0.074514,3.14067,0.286521,
1.22931,1.69609,-0.380874,1.02524,0.0771634,3.14067,0.28766,
1.2556,1.69596,-0.378823,1.02523,0.0798552,3.14066,0.288833,
1.28763,1.69582,-0.376773,1.02522,0.082589,3.14066,0.290041,
1.31825,1.69568,-0.374722,1.02521,0.0853646,3.14066,0.291282,
1.3556,1.69554,-0.372672,1.02519,0.0881819,3.14066,0.292557,
1.38419,1.69539,-0.370621,1.02518,0.09104,3.14065,0.293864,
1.40701,1.69524,-0.368571,1.02517,0.0939395,3.14065,0.295205,
1.42957,1.69509,-0.366521,1.02515,0.0968789,3.14065,0.296577,
1.45652,1.69494,-0.364471,1.02514,0.0998584,3.14065,0.297981,
1.48828,1.69479,-0.362422,1.02512,0.102878,3.14064,0.299416,
1.53015,1.69463,-0.360372,1.0251,0.105936,3.14064,0.300882,
1.5649,1.69447,-0.358323,1.02509,0.109033,3.14064,0.302378,
1.60547,1.69431,-0.356274,1.02507,0.112169,3.14063,0.303904,
1.63708,1.69415,-0.354225,1.02505,0.115342,3.14063,0.30546,
1.6673,1.69398,-0.352176,1.02503,0.118552,3.14063,0.307044,
1.70415,1.69382,-0.350128,1.02501,0.1218,3.14063,0.308656,
1.73483,1.69365,-0.348079,1.02499,0.125084,3.14062,0.310296,
1.767,1.69348,-0.34603,1.02497,0.128403,3.14062,0.311963,
1.80843,1.6933,-0.343982,1.02494,0.131758,3.14062,0.313656,
1.83986,1.69313,-0.341935,1.02492,0.135147,3.14061,0.315376,
1.86556,1.69295,-0.339887,1.02489,0.13857,3.14061,0.31712,
1.89547,1.69277,-0.33784,1.02487,0.142026,3.14061,0.31889,
1.93369,1.69259,-0.335792,1.02484,0.145516,3.1406,0.320683,
1.96538,1.69241,-0.333745,1.02481,0.149037,3.1406,0.3225,
1.99839,1.69222,-0.331698,1.02478,0.15259,3.1406,0.32434,
2.04052,1.69203,-0.329651,1.02475,0.156174,3.14059,0.326202,
2.07428,1.69184,-0.327604,1.02472,0.159788,3.14059,0.328086,
2.10861,1.69165,-0.325558,1.02469,0.163431,3.14058,0.32999,
2.15277,1.69146,-0.323512,1.02466,0.167102,3.14058,0.331913,
2.18966,1.69127,-0.321466,1.02462,0.170802,3.14058,0.333857,
2.23237,1.69107,-0.31942,1.02459,0.174528,3.14057,0.335818,
2.26537,1.69087,-0.317375,1.02455,0.17828,3.14057,0.337798,
